2024-08-05 16:11:39,841 - Training started for class: carpet
2024-08-05 18:52:41,321 - Epoch [60/200], Loss: 0.4075
2024-08-05 18:53:29,126 - Pixel Auroc: 0.935, Sample Auroc: 0.887, Pixel Aupro: 0.835
2024-08-05 18:53:55,918 - Epoch [61/200], Loss: 0.5574
2024-08-05 18:54:18,438 - Epoch [62/200], Loss: 0.8384
2024-08-05 18:54:40,765 - Epoch [63/200], Loss: 0.6998
2024-08-05 18:55:03,237 - Epoch [64/200], Loss: 0.5752
2024-08-05 18:55:20,427 - Epoch [65/200], Loss: 0.6759
2024-08-05 18:55:37,672 - Epoch [66/200], Loss: 0.6876
2024-08-05 18:55:54,992 - Epoch [67/200], Loss: 0.5900
2024-08-05 18:56:14,071 - Epoch [68/200], Loss: 0.5904
2024-08-05 18:56:37,616 - Epoch [69/200], Loss: 0.5299
2024-08-05 18:56:58,713 - Epoch [70/200], Loss: 0.5040
2024-08-05 18:57:48,139 - Pixel Auroc: 0.851, Sample Auroc: 0.812, Pixel Aupro: 0.699
2024-08-05 18:58:13,329 - Epoch [71/200], Loss: 0.4774
2024-08-05 18:58:36,425 - Epoch [72/200], Loss: 0.4495
2024-08-05 18:58:57,694 - Epoch [73/200], Loss: 0.4537
2024-08-05 18:59:22,077 - Epoch [74/200], Loss: 0.4755
2024-08-05 18:59:44,520 - Epoch [75/200], Loss: 0.4167
2024-08-05 19:00:06,785 - Epoch [76/200], Loss: 0.3637
2024-08-05 19:00:29,249 - Epoch [77/200], Loss: 0.4453
2024-08-05 19:00:51,955 - Epoch [78/200], Loss: 0.3667
2024-08-05 19:01:13,516 - Epoch [79/200], Loss: 0.4408
2024-08-05 19:01:35,126 - Epoch [80/200], Loss: 0.3641
2024-08-05 19:02:25,739 - Pixel Auroc: 0.948, Sample Auroc: 0.991, Pixel Aupro: 0.875
2024-08-05 19:02:53,508 - Epoch [81/200], Loss: 0.3292
2024-08-05 19:03:16,204 - Epoch [82/200], Loss: 0.3331
2024-08-05 19:03:33,559 - Epoch [83/200], Loss: 0.3499
2024-08-05 19:03:50,573 - Epoch [84/200], Loss: 0.3760
2024-08-05 19:04:08,093 - Epoch [85/200], Loss: 0.2995
2024-08-05 19:04:26,598 - Epoch [86/200], Loss: 0.2803
2024-08-05 19:04:49,451 - Epoch [87/200], Loss: 0.2960
2024-08-05 19:05:11,066 - Epoch [88/200], Loss: 0.3049
2024-08-05 19:05:32,716 - Epoch [89/200], Loss: 0.2835
2024-08-05 19:05:55,442 - Epoch [90/200], Loss: 0.3025
2024-08-05 19:06:46,314 - Pixel Auroc: 0.940, Sample Auroc: 0.969, Pixel Aupro: 0.836
2024-08-05 19:07:12,169 - Epoch [91/200], Loss: 0.2999
2024-08-05 19:07:35,812 - Epoch [92/200], Loss: 0.3360
2024-08-05 19:07:58,615 - Epoch [93/200], Loss: 0.2928
2024-08-05 19:08:20,619 - Epoch [94/200], Loss: 0.2656
2024-08-05 19:08:41,757 - Epoch [95/200], Loss: 0.2840
2024-08-05 19:09:02,833 - Epoch [96/200], Loss: 0.2581
2024-08-05 19:09:25,475 - Epoch [97/200], Loss: 0.2855
2024-08-05 19:09:47,130 - Epoch [98/200], Loss: 0.2691
2024-08-05 19:10:08,285 - Epoch [99/200], Loss: 0.2706
2024-08-05 19:10:29,861 - Epoch [100/200], Loss: 0.2588
